Indicator,Energy_Type,Technology,Unit,year,value
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2018,1258785.06
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2018,4293329.427621
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2018,119279.755
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2018,1200158.519
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2018,497892.161
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2018,566332.9500000001
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2019,17298784.165178
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2019,547708.951
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2019,4370681.6
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2019,698378.34
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2019,1412497.83
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2019,4347692.9676210005
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2019,125545.819
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2019,1219560.34
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2019,601257.391
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2019,625286.193
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2020,16851060.862178
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2020,570949.584
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2020,4490356.638
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2020,845178.339
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2020,1587898.051
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2020,4417056.144621
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2020,133476.709
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2020,1240824.46
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2020,733688.476
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2020,736414.383
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2021,17716278.920055002
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2021,611905.656
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2021,4426546.777
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2021,1042256.842
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2021,1839968.519
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2021,4478710.337621001
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2021,139841.189
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2021,1263711.316
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2021,878751.709
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2021,827323.696
